emotion_bucket,text
5,"I ' m in heaven rearwards on my preferred site now, woohoo!!"
5,"SO, I am VERY disappointed with this stupid camera, and am attend FORWARD to breaking it so I can die and buy another NIKON COOLPIX, which, except for the lens government issue (breaking with underage trauma ), took great pictures, MOST of which WEREN ' T blurry! !! !! !! !!!"
5,i dont even wanna tweet any longer love you situate this
5,I am so infuriated now as they ne'er inform me that this was constituent of the price they cite to me!!
5,"Have An ogdoad dark vacation which I cannot get to, not to mention my return was also book HIR - NAN - HNL Also on FIJI airways. .. What a bunch of crooks"
5,not rightful regrettably most passengers are still on the railroad train and i am still standing its rammed front to stake is that decent feedback for you
5,no point know now service is cancalled now having to spend for substitute travel does not help my wallet seriously dang right on disgusted that this pass every day seriously need to stop up your plot here
5,"The flight leaves late due to late inbound craft - (which is a atomic number 5 excuse really - - a more honest one would be the cunning was late because its on an end to end schedule with real tight turnaround times, and we stuffed up somewhere earlier in the day) So I land an hour late and then have to look for my bags - C ' est la vie."
5,"can i get anything rearwards, or is it hopeless. .. . i take it the trash can expend the rm command or hopefully some other method acting? ???"
5,either way its retarded like the enforcement team skill le fucks no wonder sony is ahead by over thirty million sad i was freeze for a offensive emblem still though it was a photo of crash bandicoot why
5,i have been charge once more for 2 orders when i only place one i have emailed this through with i want a refund for the sum of money taken asap wtf
5,"I was really disgusted with this purchase. First off, it is falsify. Since I purchased it, the title has been changed a little to reflect what you get a little bit better. BUT - it still tell box of 50 gauze pads. What they do NOT tell you is this - you will only get 25 bundle of gauze."
5,were already having our 2d technician get out this is ace disappointing
5,you are the worst providers of anything i am a new customer as of 2 weeks and live treated like a 3rd world citizen no wonder i was apprize not to signalize up with you for anything i gave you a chance for nothing losers
5,not today not today this is some shady squat and its really frustrating that your employees slant give me answer and provide apology for drivers that lie about delivering packages
5,"This is a dire, deceitful caller that luers people in done cheap airline ticket."
5,you know what gets me in the christmas spirit not shopping at sainsburys after seeing this unbelievably shabby shit and christmastime carol in store too no dubiousness
5,Overall utterly dreaded terrible nightmarish experience with FlightNetwork.
5,how can i relish my flight when you dont have anyone here to answer questions and help me board boojetblue so thwarted with your customer service not only were me and my family unable to get on our original flight yesterday when the flight hadnt taken off but now we have to hold back an additional ii hours today to check our bags boojetblue getmehome neveragain
5,should have expected this crud out of what is spoilt the 60 minutes time lag on the tarmac or the ill mannered ass flight attendant that wake me up whatsworse
