emotion_bucket,text
4,scream me softheaded but we sleep together the suggestion we will be certain to go along
4,Yesterday I was in the economy class of Turkish Airlines on my way back home but still had one of the best meals I ' ve e'er have on panel (aand it was free! )
4,monolithic thank you to and for getting this purpose for me in a timely personal manner they handled my crankiness advantageously
4,it earn me sick dawg chipotle raging trash the disrespect is literal brodie
4,Bawl out me for an inapplicable root when you haven ' t specified your full prerequisite isn ' t helpful.
4,"However, the tangible disaster was in reality the coming rearwards trip up!!"
4,i hate your website tried multiple times in a booking and it will not continue to payment and hangs try on all dissimilar browsers no choice but to book thru travel broker but exec line treats travel agency hold like pariah why
4,They offered atomic number 102 commission or help other than ask multitude to leave the carge office.
4,motive to fix whatsoever tf is going on w my earphone i cant even listen to my euphony i pay for it i better be able to listen to it
4,since amazon cancelled my uk membership i am stupefy with chetan bhagat in the lit section do you even have it off what literature is fuck
4,"Are my expectation undue (do not hook for services, replay to complaint email )? ???"
4,"And I, on the other hand, am extremely disordered and baffle that I can ' t speak to Aeromexico directly (or e mail them, for that matter )."
4,that is not true at all the regular price for two yrs is rs 89376 and the discounted price is rs 89376 if the promotional code was genuinely valid there would have been a 25 drop as claimed in the last discounted price so far lean a fake sale i recvd an email offering 25 off on my next new purchase so i went over to bcoz i wanted a new domain and it seems that you are not offering a 25 discount at all cheap pr stunt i must say you will lose customers i tell you that one
4,The complete unfitness of anyone representing AA at the airport or on the phone to deal the office was beyond irresponsible.
4,Their surety stave is rude and there is no construct of organized embarkation at Heathrow.
4,i am having so much worry with my apple gem state accepting my defrayal details i cannot download or update anything i am about to go to android this is horrible nothing is working for me
4,why should we be loyal to your airline so far again for an international escape youve placed me in a middle seat diamondmeansnothing
4,What ' s the next move (besides plain never flying with them once again and notify everyone I know to do the like )?
4,One concierge even bosom me when we left and state she was decease to escape me!
4,I just had the bad experience book flights to United mexican states with Interjet.
4,after 4 recaptcha i finally got to paywhat a regretful user experience i got herenearly make not want to buy any longer
4,We lost a unscathed clarence day in Italian capital b / c Delta has no clue how to decent service their planes.
4,"Only to be told that they put on ' t give insurance or cancellation advice on this issue, you want to do it online! !!"
4,you have failed to install my internet for two days several headphone call in and i cant even get a manager incompetent person wastedmyweekend
4,this new email variety sucks detest it go backward to onetime notfunctional
4,These were families with child waiting and this was an preposterous style to treat the office.
4,absolute jape after hold off all day for an order of magnitude placed on fri on prime
4,I have been fundamentally been surcharge and this could have turned out alot worse than it do had i missed my connecting flight.
4,massively discomfited with deuce of your restaurants tonight
4,i detest you how tough is it to not position onion in my greaser
4,"If they can not responsibly ship a dog iron, YOU are not dependable on this Airline."
4,will there be an update coming soon thats gonna fix my electric battery offspring or should i just throw away the whole phone and use a pigeon
4,"When I bribe a plot, I make an agreement between me and the producer - not a contact! badness MOVE Activision."
4,"The employees are incompetenent, don ' t guardianship and the airline is incapable of being trusted to enrapture an animal, nestling or anything of value."
4,"After speaking with an highly unhelpful and rude supervisor, and explaining our situation, she said she would look into further and disappeared, only to return xlv min later to once again repeat there were no seats for us."
4,What is to the highest degree frustrating is that there is no way to find a escape with two upgrade - able seats without calling alcoholics anonymous - - and waiting through three minutes of canned drivel before we find a illustration and go through the whole ' wanna ' list with her.
4,I am flying Virgin Australia to Los Angeles and absolutely hate plane food (always have horrible venter pains after eating it) Wanting to bring my own food on the aeroplane but concerned with customs etc with what I can bring instead of paying large amounts of money for food beyond customs which is as horrible.
4,The passage at Heathrow (a refueling and more passengers stop) was the well nigh miserable experience in all our wing years. .. . We would not recommend to anyone flying through and through Heathrow as transit passengers.
4,I am writing today to state you how disappointed I am in your misleading business practice and disgusted I am with your client support (a common thread in many reviews for your fellowship ).
4,I should have bed better than to book a low - cost flight of steps through an way. .. or at least through That agency!
4,"I tried to call the airline but cypher picked up, now I ' m waiting for the response email which I wear ' t know whether they will even manage to understand."
4,We were proud of with our flights and now see forward to our slip on the Dreamliner this summertime.
4,"And, its been reappropriated by the pretty people as a marvelous facial crinkle pick."
4,"As a current PT scholar, I have an * amazing * network of rising stars at a bit of bay surface area companies, decent now."
4,I was only wondering: And something totally dissimilar: Thanks you blackguard!
4,All the same our scheme tell I can form you a new Promo computer code now!
4,They promptly checked us in and to our surprisal we were all seat in concert 9ABCDE.
4,my momma always asks me if i want mcdonalds and i believe that is rlly beautiful
4,"Voila - - no checkered baggage, no carry - on luggage, no problems (and hold out insolent - flops on your feet )."
4,this is how ups delivered my software package out 800 of yule money for my 5 child angry mommy
